timestamps,TP9,AF7,AF8,TP10
1623120416.616,310.059,-18.555,12.695,255.859
1623120416.620,-889.160,-3.906,41.504,-957.520
1623120416.624,-105.469,-27.832,-42.969,-80.078
1623120416.628,-1000.000,-53.223,-87.402,-1000.000
1623120416.632,-114.258,-29.297,-18.555,-156.738
1623120416.636,-809.570,3.418,42.480,-941.895
1623120416.639,241.699,-11.719,-13.672,328.125
1623120416.643,-1000.000,-38.086,-92.285,-1000.000
1623120416.647,-426.270,-24.414,-41.016,-542.969
1623120416.651,-930.664,-0.977,45.898,843.750
1623120416.655,567.383,-11.719,-0.488,643.555
1623120416.656,-941.406,-38.574,-93.262,-746.094
1623120416.660,-772.461,-32.715,-68.359,-820.801
1623120416.664,700.684,2.441,26.367,531.738
1623120416.668,916.016,-5.371,15.137,889.160
1623120416.672,-476.074,-38.574,-75.684,-405.762
1623120416.676,-1000.000,-42.969,-89.355,-1000.000
1623120416.680,198.242,-19.043,-0.488,154.785
1623120416.683,-855.957,-12.695,30.762,-948.242
1623120416.687,-27.344,-44.434,-66.895,-5.859
1623120416.691,-1000.000,-52.734,-101.562,-1000.000
1623120416.695,-182.129,-20.996,-11.719,-260.742
1623120416.699,-818.359,-2.441,47.363,-980.469
1623120416.701,302.734,-31.738,-21.484,411.133
1623120416.705,-1000.000,-54.688,-90.820,-967.285
1623120416.709,-497.559,-29.785,-31.738,-619.141
1623120416.713,-991.211,-6.836,42.969,780.762
1623120416.717,642.578,-20.020,-1.953,701.172
1623120416.721,-856.445,-43.945,-89.844,-688.477
1623120416.725,-848.145,-34.180,-65.430,-865.723
1623120416.728,597.656,-10.742,16.113,462.402
1623120416.732,980.469,-9.766,11.719,935.059
1623120416.736,-366.699,-27.344,-56.641,-319.824
1623120416.740,-1000.000,-32.715,-74.707,-1000.000
1623120416.744,106.934,-15.137,-2.441,66.895
1623120416.746,-828.613,-3.906,26.855,-931.152
1623120416.750,57.617,-24.902,-48.340,97.168
1623120416.754,-1000.000,-42.969,-93.262,-1000.000
1623120416.758,-252.441,-20.996,-26.367,-340.332
1623120416.762,-834.961,-5.859,36.621,986.328
1623120416.766,372.559,-22.461,-17.578,485.352
1623120416.770,-1000.000,-39.551,-86.914,-910.645
1623120416.773,-575.195,-31.738,-53.223,-670.410
1623120416.777,929.688,-6.348,37.109,723.145
1623120416.781,723.145,-13.672,24.902,769.043
1623120416.785,-756.836,-38.574,-73.242,-590.820
1623120416.789,-924.316,-33.691,-65.430,-921.875
1623120416.791,485.840,-7.812,30.273,372.070
1623120416.795,-966.797,-11.230,35.645,969.238
1623120416.799,-267.578,-45.410,-60.547,-242.676
1623120416.803,-1000.000,-50.293,-82.031,-1000.000
1623120416.807,18.555,-23.926,0.488,-30.273
1623120416.811,-815.430,-20.020,32.715,-926.758
1623120416.815,124.512,-41.992,-47.852,183.105
1623120416.818,-1000.000,-54.688,-102.051,-1000.000
1623120416.822,-322.754,-34.180,-23.438,-432.617
1623120416.826,-858.398,-9.277,45.898,936.523
1623120416.830,427.734,-27.344,-16.602,537.598
1623120416.834,-1000.000,-45.898,-92.285,-823.730
1623120416.837,-593.750,-31.738,-48.340,-680.664
1623120416.841,843.750,-13.184,32.227,651.367
1623120416.845,794.434,-20.020,7.324,813.965
1623120416.849,-658.203,-45.410,-85.449,-529.785
1623120416.853,-993.164,-37.598,-83.984,-967.285
1623120416.857,373.535,-11.230,1.953,291.992
1623120416.861,-917.969,-15.625,3.906,-986.816
1623120416.864,-168.457,-30.273,-67.871,-149.902
1623120416.868,-1000.000,-34.668,-85.449,-1000.000
1623120416.872,-63.965,-13.184,-24.414,-123.535
1623120416.876,-808.105,9.277,26.367,-946.777
1623120416.880,194.336,-14.160,-37.109,270.996
1623120416.882,-1000.000,-36.133,-102.539,-1000.000
1623120416.886,-384.277,-18.066,-43.945,-504.883
1623120416.890,-900.391,3.418,30.762,879.883
1623120416.894,521.484,-7.324,-5.371,611.328
1623120416.898,-990.234,-37.109,-89.844,-786.133
1623120416.902,-724.121,-39.062,-77.637,-787.109
1623120416.906,763.184,-12.207,11.719,576.660
1623120416.909,866.699,-6.836,22.461,867.676
1623120416.913,-552.734,-39.062,-72.266,-444.336
1623120416.917,-1000.000,-51.758,-83.984,-1000.000
1623120416.921,282.715,-30.273,11.230,237.793
1623120416.925,-932.129,-22.949,34.668,996.094
1623120416.941,-162.598,-46.875,-51.758,-129.395
1623120416.945,-1000.000,-50.781,-85.449,-1000.000
1623120416.949,-140.137,-30.762,-3.906,-206.055
1623120416.953,-813.965,-20.508,48.828,-966.309
1623120416.957,256.836,-40.039,-18.555,351.074
1623120416.961,-1000.000,-63.477,-97.168,-1000.000
1623120416.965,-453.125,-46.387,-39.551,-565.918
1623120416.968,-954.102,-18.555,51.758,824.707
1623120416.972,599.609,-28.320,4.883,680.664
1623120416.976,-905.762,-54.199,-87.891,-703.125
