timestamps,TP9,AF7,AF8,TP10
1623120654.602,-633.301,-51.270,-141.602,-473.145
1623120654.606,-29.297,-25.391,-21.973,-52.246
1623120654.610,624.512,7.324,70.801,443.359
1623120654.613,192.383,0.488,-13.184,164.551
1623120654.617,-588.867,-33.203,-143.066,-416.992
1623120654.621,-303.711,-26.367,-74.219,-242.676
1623120654.625,524.902,5.371,87.891,367.676
1623120654.629,393.066,-8.789,31.738,303.223
1623120654.616,-471.680,-46.387,-128.418,-324.219
1623120654.620,-495.117,-34.668,-92.285,-375.488
1623120654.624,351.074,-3.906,53.711,227.539
1623120654.628,544.434,-16.113,35.645,400.391
1623120654.632,-265.137,-38.574,-93.262,-184.082
1623120654.636,-621.582,-34.180,-117.676,-475.586
1623120654.640,116.699,-10.254,0.000,44.922
1623120654.643,618.164,-2.441,54.199,439.941
1623120654.647,-23.438,-22.461,-66.406,-3.418
1623120654.651,-657.227,-36.621,-136.230,-485.840
1623120654.655,-134.277,-23.926,-28.809,-126.953
1623120654.659,597.656,-7.324,59.082,423.828
1623120654.661,221.680,-31.738,-51.270,176.270
1623120654.665,-588.379,-47.852,-153.809,-437.500
1623120654.669,-350.098,-30.762,-77.637,-302.734
1623120654.673,499.512,-10.254,50.781,327.148
1623120654.677,428.223,-20.020,15.625,317.871
1623120654.681,-432.129,-47.852,-131.836,-300.781
1623120654.685,-524.902,-44.434,-108.887,-398.438
1623120654.688,307.617,-14.648,20.508,201.660
1623120654.692,571.777,-1.465,33.203,423.828
1623120654.696,-211.426,-27.832,-82.520,-142.578
1623120654.700,-640.625,-44.434,-129.395,-486.816
1623120654.704,57.617,-18.066,-6.348,-5.859
1623120654.707,615.723,-0.977,69.824,432.129
1623120654.711,26.367,-23.438,-39.551,32.715
1623120654.715,-650.391,-44.922,-138.672,-482.422
1623120654.719,-187.500,-33.203,-33.203,-163.574
1623120654.723,565.918,-16.602,71.777,381.836
1623120654.727,260.254,-19.531,-20.996,180.664
1623120654.731,-566.406,-46.875,-147.461,-406.250
1623120654.734,-412.109,-44.922,-93.262,-329.590
1623120654.738,437.988,-15.625,62.988,291.992
1623120654.742,453.125,-17.090,44.922,327.148
1623120654.746,-395.508,-44.434,-106.934,-289.551
1623120654.750,-566.406,-41.992,-102.051,-437.988
1623120654.751,241.699,-6.836,38.574,141.602
1623120654.755,562.500,-1.953,50.781,411.133
1623120654.759,-179.688,-31.250,-87.891,-115.723
1623120654.763,-655.273,-42.969,-139.648,-498.535
1623120654.767,5.371,-10.254,-14.160,-41.504
1623120654.771,610.352,7.812,55.664,435.059
1623120654.775,77.637,-24.414,-56.641,79.102
1623120654.778,-634.766,-43.945,-137.207,-468.262
1623120654.782,-235.840,-20.996,-29.297,-210.449
1623120654.786,550.781,-5.859,70.312,387.207
1623120654.790,312.988,-20.508,-17.090,246.094
1623120654.794,-520.996,-38.574,-135.742,-374.512
1623120654.796,-437.012,-27.832,-75.195,-349.609
1623120654.800,406.250,-0.977,52.734,267.090
1623120654.804,483.887,-7.812,34.668,360.840
1623120654.808,-353.027,-40.039,-93.750,-248.047
1623120654.812,-596.680,-44.922,-109.375,-460.938
1623120654.816,187.012,-31.250,5.371,99.121
1623120654.820,591.309,-21.973,38.574,436.523
1623120654.823,-105.469,-21.484,-64.941,-54.199
1623120654.827,-650.391,-35.156,-115.234,-491.211
1623120654.831,-58.594,-29.297,-15.625,-78.613
1623120654.835,591.797,-10.742,55.664,424.805
1623120654.839,122.559,-21.973,-34.180,105.469
1623120654.841,-624.512,-43.945,-135.254,-459.473
1623120654.845,-285.156,-26.367,-65.918,-243.164
1623120654.849,519.043,-6.348,60.547,357.910
1623120654.853,349.121,-19.531,18.555,258.301
1623120654.857,-499.023,-43.945,-113.770,-366.211
1623120654.861,-483.398,-43.945,-111.328,-380.859
1623120654.865,354.492,-17.578,30.273,232.422
1623120654.868,510.254,-16.113,44.922,370.605
1623120654.872,-298.340,-39.062,-103.027,-215.332
1623120654.876,-610.352,-46.875,-128.906,-470.703
1623120654.880,148.926,-20.020,10.254,59.082
1623120654.884,604.004,-10.742,68.848,421.387
1623120654.901,-56.152,-37.109,-60.547,-38.086
1623120654.905,-657.715,-48.828,-145.996,-507.324
1623120654.909,-114.746,-35.156,-31.738,-131.348
1623120654.913,593.262,-10.254,75.195,411.621
1623120654.917,186.523,-19.043,-14.648,147.949
1623120654.921,-607.910,-45.410,-144.531,-440.430
1623120654.925,-334.961,-24.414,-59.570,-270.020
1623120654.928,494.629,3.418,89.844,350.098
1623120654.932,375.977,-18.066,26.855,311.523
1623120654.936,-479.492,-57.129,-121.582,-314.453
1623120654.940,-525.879,-50.781,-84.961,-392.090
1623120654.944,286.133,-22.461,50.781,191.406
1623120654.946,508.301,-24.414,38.086,381.836
1623120654.950,-249.023,-42.480,-87.402,-165.039
1623120654.954,-635.742,-42.969,-109.863,-473.145
1623120654.958,82.031,-14.160,16.113,26.367
1623120654.962,606.445,-6.836,66.895,437.012
1623120654.966,-7.324,-35.645,-67.383,17.090
1623120654.970,-660.645,-50.293,-145.996,-492.676
1623120654.973,-169.434,-27.344,-21.973,-160.156
1623120654.977,576.172,-7.324,64.453,412.109
1623120654.981,230.957,-23.438,-28.320,189.453
1623120654.985,-577.148,-39.062,-123.047,-422.363
1623120654.989,-376.953,-32.715,-77.148,-302.734
1623120654.991,455.566,-8.789,47.363,319.824
1623120654.995,423.340,-15.137,26.855,329.102
1623120654.999,-421.387,-36.133,-108.398,-294.434
1623120655.003,-547.852,-33.203,-112.793,-416.016
1623120655.007,275.391,-21.484,24.902,183.105
1623120655.011,554.688,-28.809,58.105,420.410
1623120655.015,-205.566,-40.039,-69.824,-123.047
1623120655.018,-650.391,-41.504,-121.094,-485.352
1623120655.022,24.902,-19.531,-3.418,-4.395
1623120655.026,611.816,-5.371,82.520,455.078
1623120655.030,53.223,-32.715,-28.320,53.223
1623120655.034,-639.648,-51.758,-134.277,-475.586
1623120655.036,-207.520,-26.367,-46.387,-179.688
1623120655.040,566.406,-0.488,78.125,400.879
1623120655.044,283.203,-18.555,7.812,225.586
1623120655.048,-548.340,-38.574,-132.812,-388.672
1623120655.052,-416.016,-23.438,-76.660,-330.566
1623120655.056,428.223,-0.488,61.035,287.109
1623120655.060,465.332,-11.719,30.273,339.844
1623120655.063,-374.023,-42.969,-117.188,-272.461
1623120655.067,-574.219,-36.621,-119.629,-450.684
1623120655.071,219.727,-3.906,38.574,110.352
1623120655.075,580.078,-5.859,68.359,415.527
1623120655.079,-136.719,-33.691,-81.543,-85.449
1623120655.081,-640.137,-36.621,-141.113,-487.305
1623120655.085,-14.160,-14.648,-0.488,-50.293
1623120655.089,608.887,-3.418,78.125,440.430
1623120655.093,106.445,-25.391,-39.062,98.145
1623120655.097,-626.465,-47.852,-144.531,-456.543
1623120655.101,-251.465,-21.484,-61.523,-201.172
1623120655.105,548.828,4.395,71.777,391.113
1623120655.108,332.520,-20.020,7.324,258.301
1623120655.112,-506.836,-39.551,-118.652,-359.375
1623120655.116,-451.172,-27.832,-75.684,-357.910
1623120655.120,386.719,-17.578,40.527,248.535
1623120655.124,503.906,-17.090,25.879,364.258
1623120655.141,-311.523,-40.527,-112.305,-229.004
1623120655.145,-588.867,-43.945,-122.070,-461.426
1623120655.149,166.016,-11.719,15.625,87.891
1623120655.153,589.355,-4.395,61.035,443.359
1623120655.157,-83.984,-33.203,-65.430,-34.668
1623120655.161,-643.066,-42.969,-141.602,-484.375
1623120655.165,-70.312,-16.602,-29.785,-81.055
1623120655.168,592.773,-4.883,66.406,434.570
1623120655.172,154.785,-20.996,-10.742,129.395
1623120655.176,-607.910,-39.551,-130.371,-447.266
1623120655.180,-310.059,-29.785,-74.219,-256.836
1623120655.184,505.859,-3.418,55.176,347.168
1623120655.171,364.746,-12.207,9.277,274.902
1623120655.175,-483.398,-42.969,-129.883,-351.562
1623120655.179,-508.301,-44.434,-99.609,-402.344
1623120655.183,319.824,-18.066,43.945,205.566
1623120655.187,508.301,-11.719,37.109,381.836
1623120655.191,-289.062,-45.410,-114.258,-192.871
1623120655.195,-636.230,-54.199,-138.184,-481.445
1623120655.198,101.074,-18.066,14.160,42.480
1623120655.202,605.469,-8.789,79.590,434.082
1623120655.206,-30.762,-47.363,-75.684,-20.996
1623120655.210,-658.203,-63.965,-172.363,-494.141
1623120655.214,-134.277,-33.691,-33.203,-128.418
1623120655.216,575.684,-14.648,63.477,408.203
1623120655.220,201.172,-33.203,-40.039,170.410
1623120655.224,-596.191,-53.223,-136.719,-420.410
1623120655.228,-371.094,-30.762,-62.500,-288.086
1623120655.232,461.914,-5.371,61.523,324.707
1623120655.236,387.695,-26.855,6.836,313.965
1623120655.240,-456.055,-49.805,-137.695,-307.129
1623120655.243,-545.410,-43.457,-102.539,-426.758
1623120655.247,273.926,-22.461,41.504,171.875
1623120655.251,535.156,-20.020,45.898,397.461
1623120655.255,-231.445,-46.875,-90.820,-163.574
1623120655.259,-640.625,-47.363,-108.887,-494.141
1623120655.276,62.012,-16.113,19.043,-7.812
1623120655.280,610.840,-2.930,71.289,424.316
1623120655.284,21.973,-26.367,-48.340,25.879
1623120655.288,-662.109,-50.293,-138.184,-486.816
1623120655.292,-202.637,-39.551,-38.574,-171.387
1623120655.296,563.477,-12.207,60.059,399.414
1623120655.300,248.535,-14.648,-14.648,198.730
1623120655.303,-575.195,-38.086,-120.605,-406.250
1623120655.307,-408.203,-35.645,-73.730,-315.918
1623120655.311,435.547,-15.625,52.246,301.758
1623120655.315,442.383,-12.695,46.875,345.215
1623120655.319,-395.996,-34.668,-102.051,-269.043
1623120655.321,-562.012,-41.992,-122.559,-427.246
1623120655.325,250.000,-12.695,29.785,156.250
1623120655.329,579.102,-2.930,71.777,425.293
1623120655.333,-178.223,-34.180,-77.637,-118.652
1623120655.337,-655.273,-42.480,-143.555,-490.234
1623120655.341,-1.953,-16.602,-21.484,-26.367
1623120655.345,594.238,-4.395,72.266,430.664
1623120655.348,66.895,-23.926,-23.438,65.430
1623120655.352,-648.926,-52.246,-157.227,-475.586
1623120655.356,-252.441,-39.551,-67.383,-212.891
1623120655.360,534.668,-6.836,83.008,372.559
1623120655.364,303.223,-25.879,8.789,239.746
1623120655.366,-526.855,-55.664,-131.348,-361.816
1623120655.370,-442.383,-29.785,-83.008,-337.891
1623120655.374,405.273,2.441,62.012,250.977
1623120655.378,488.281,-12.207,30.273,335.449
1623120655.382,-325.684,-38.086,-126.465,-231.445
1623120655.386,-540.527,-31.250,-127.930,-405.762
1623120655.390,230.957,-8.301,26.855,140.625
1623120655.393,600.098,-7.812,67.871,439.941
1623120655.397,-114.746,-39.062,-86.426,-49.805
1623120655.401,-653.320,-49.316,-136.719,-470.703
1623120655.405,-49.316,-22.949,-4.883,-57.617
1623120655.409,607.910,-3.906,70.312,450.684
1623120655.411,129.883,-24.414,-41.504,125.977
1623120655.415,-639.160,-55.664,-153.809,-454.102
1623120655.419,-298.340,-40.039,-63.965,-243.164
1623120655.423,519.531,-13.184,59.082,362.305
1623120655.427,344.238,-24.414,2.441,261.719
1623120655.431,-500.977,-50.293,-134.277,-357.910
1623120655.435,-478.516,-40.527,-95.215,-372.559
1623120655.438,369.629,-19.043,41.992,233.398
1623120655.442,518.555,-18.555,36.133,375.000
1623120655.446,-302.734,-34.180,-84.961,-206.543
1623120655.450,-618.164,-46.387,-120.605,-457.520
1623120655.454,141.113,-28.320,1.465,77.637
1623120655.456,618.652,-2.441,67.383,451.172
1623120655.460,-32.715,-19.043,-56.641,-6.348
1623120655.464,-650.879,-43.457,-144.531,-477.051
1623120655.468,-69.336,-22.461,-20.020,-76.660
1623120655.472,543.457,-2.930,65.918,385.742
1623120655.476,78.613,-27.344,-47.852,74.219
1623120655.480,-574.219,-48.828,-143.555,-415.039
1623120655.483,-315.430,-29.297,-73.242,-251.953
1623120655.487,502.441,-0.488,72.754,343.262
1623120655.491,397.949,-15.137,31.738,286.621
1623120655.495,-452.637,-45.410,-130.371,-326.660
1623120655.499,-498.535,-36.133,-107.422,-386.230
1623120655.501,329.102,-10.254,33.203,215.332
1623120655.505,541.016,-10.742,41.504,406.738
1623120655.509,-249.023,-37.598,-96.191,-155.762
1623120655.513,-628.906,-47.363,-133.789,-464.844
1623120655.517,92.773,-25.879,1.465,31.738
1623120655.521,619.141,-11.719,60.059,434.570
1623120655.525,2.930,-30.273,-64.941,6.348
1623120655.528,-644.043,-46.387,-147.461,-487.793
1623120655.532,-145.508,-18.555,-26.855,-154.785
1623120655.536,592.285,-1.953,68.359,399.902
1623120655.540,251.953,-24.902,-21.973,184.570
1623120655.544,-552.734,-43.457,-137.695,-409.668
1623120655.546,-354.492,-32.227,-71.289,-301.270
1623120655.550,484.863,-9.277,67.383,312.988
1623120655.554,444.824,-14.160,30.273,323.730
1623120655.558,-411.133,-39.551,-109.375,-297.363
1623120655.562,-530.762,-35.156,-96.191,-416.016
1623120655.566,284.180,-9.766,37.598,165.039
1623120655.570,562.988,-14.160,41.016,402.832
1623120655.573,-191.406,-36.621,-93.262,-136.230
1623120655.577,-636.230,-40.527,-121.582,-485.840
1623120655.581,34.180,-19.531,1.465,-8.301
1623120655.585,610.352,-3.418,55.176,439.941
1623120655.589,46.387,-23.926,-64.453,50.293
1623120655.606,-649.902,-43.457,-157.227,-479.980
1623120655.610,-212.402,-32.715,-52.734,-187.500
1623120655.614,552.734,-12.207,74.219,379.883
1623120655.618,258.789,-25.879,1.465,204.590
1623120655.622,-571.289,-52.246,-129.395,-400.391
1623120655.626,-438.477,-44.434,-99.121,-342.285
1623120655.630,410.156,-15.625,45.410,274.902
1623120655.633,452.148,-13.184,52.246,335.449
1623120655.637,-376.953,-40.039,-101.562,-267.090
1623120655.641,-573.730,-47.852,-119.629,-433.594
1623120655.645,214.844,-23.926,22.461,131.348
1623120655.649,574.219,-9.766,56.641,419.434
1623120655.651,-140.137,-37.109,-73.242,-89.844
1623120655.655,-639.160,-48.828,-125.000,-473.633
1623120655.659,-15.625,-18.066,-12.695,-33.203
1623120655.663,592.285,-8.789,69.824,435.059
1623120655.667,82.520,-37.598,-40.039,96.191
1623120655.671,-639.160,-49.805,-150.391,-449.219
1623120655.675,-267.090,-28.320,-51.270,-213.867
1623120655.678,529.785,-5.859,82.520,379.395
1623120655.682,323.730,-16.113,17.578,264.648
1623120655.686,-518.555,-47.852,-133.301,-354.492
1623120655.690,-458.984,-36.133,-86.426,-353.516
1623120655.694,388.184,-2.930,57.617,249.512
1623120655.696,496.094,-17.090,28.320,363.281
1623120655.700,-333.496,-44.434,-115.234,-223.633
1623120655.704,-611.816,-47.363,-120.117,-450.195
1623120655.708,151.855,-25.391,18.555,94.238
1623120655.712,578.125,-10.254,61.523,428.223
1623120655.716,-100.098,-40.039,-69.824,-53.711
1623120655.720,-663.086,-53.711,-140.137,-483.398
1623120655.723,-77.637,-20.020,-9.277,-77.637
1623120655.727,597.168,-5.859,64.453,428.223
1623120655.731,153.320,-32.715,-45.898,118.164
1623120655.735,-610.840,-47.852,-131.348,-457.520
1623120655.739,-302.734,-31.738,-58.594,-252.441
1623120655.741,510.254,-14.160,65.430,347.168
1623120655.745,368.164,-19.531,25.879,274.902
1623120655.749,-458.496,-34.180,-105.957,-337.402
1623120655.753,-480.957,-33.203,-95.215,-392.090
1623120655.757,374.512,-6.348,48.340,235.840
1623120655.761,471.191,-8.789,39.062,344.727
1623120655.765,-390.137,-43.457,-116.211,-270.508
1623120655.768,-616.699,-45.410,-122.559,-464.355
1623120655.772,106.934,-21.484,11.719,53.223
1623120655.776,585.449,-5.371,75.195,431.641
1623120655.780,-37.598,-26.367,-50.781,-20.508
